ADJ	NN	context	final_attribute	final_semclass	Status
alt	Forderung	Erst wenig später wurde eine andere alte Forderung erfüllt : von der Fassade des Hotels wurde die zur Zeit des Nationalsozialismus eingeführte sogenannte  Hitlertraube  entfernt .	Dauer	Kommunikation	collocation
alt	Form	Teilweise sind im Oberen Mittelrheintal noch Terrassen in alter Form in Bewirtschaftung ( auch an der alten Bindung der Triebe erkennbar - pro Stock ein Pfahl ) .	Zeit	Attribut	collocation
alt	Rechnung	Aus alten Rechnungen ist zu ersehen , dass die Fassmaler höhere Beträge erhielten als die Bildhauer , woraus manchmal geschlossen wurde , dass die Fassmaler mehr geachtet waren .	Alter	Artefakt	free
alt	Frage	Es ist eine alte Frage der Demokratie : Was und wieviel soll direkt von allen entschieden werden , und was durch Repräsentanten in Parlamenten ?	Dauer	Kommunikation	collocation
alt	Testament	Der Ofen ist reich mit Delfter Kacheln verziert , die Szenen des Alten Testaments und Landschaftsdarstellungen zeigen .	Alter	Artefakt	free
alt	Freund	Sie muss jedoch bald feststellen , dass der Theaterclub aufgelöst wurde bzw. keine Mitglieder mehr hat , nachdem alle ihre alten Freunde die Schule abgeschlossen hatten .	Dauer	Mensch	collocation
alt	Freundin	In ihrem Heimatort in Florida trifft sie einen Tag vor dem Konzert ihre alte Freundin Sarah .	Dauer	Mensch	collocation
alt	Garde	Napoleon selbst wollte im Zentrum auf Fleurus vorstoßen und mit einem Schlag unter Einsatz der Alten Garde die endgültige Entscheidung gegen die Preußen herbeiführen .	Eigenname	Eigenname	Eigenname
blank	Blech	Blankes Blech , das an einen Lieferwagen hätte erinnern können , wurde konsequent vermieden .	Oberfläche	Artefakt	free
blank	Boden	480 – auch Familien mit kleinen Kindern – harrten auf Pritschen in Zelten aus , die auf blankem Boden aufgestellt sind . "	Oberfläche	Artefakt	collocation
alt	Geschichte	Er wuchs in Höxter ( bis 1873 ) und Kassel auf und studierte ab 1883 Klassische Philologie , Alte Geschichte und Germanistik in Berlin .	Zeit	Kognition	collocation
alt	Gewohnheit	In dieser Periode muss mit alten Gewohnheiten , beispielsweise der Zigarette an der Bushaltestelle oder nach dem Essen , gebrochen werden .	Dauer	Geschehen	collocation
alt	Grieche	Die Musik der alten Griechen kennen wir in der Hauptsache nur aus den Schriften der Theoretiker des Altertums , die in ziemlich großer Anzahl erhalten sind .	Zeit	Mensch	collocation
blank	Degen	So wurde den schwangeren Frauen ein blanker Degen unter dem Kopf gelegt , um sie vor unterirdischen Geistern zu schützen .	Oberfläche	Artefakt	free
alt	Heimat	Zum Ende seines Lebens kehrte er in seine alte Heimat zurück , wo er im Alter von 84 Jahren verstarb .	Zeit	Ort	collocation
blank	Draht	Telefonleitungen mit blanken Drähten ( Freileitung ) werden dagegen nicht mehr im öffentlichen Fernsprechnetz Deutschlands und vieler westeuropäischer Länder genutzt .	Oberfläche	Artefakt	collocation
blank	Felge	Man kann sie auch auf der Straße beobachten , wenn die blanken Felgen eines Fahrrades das Licht auf den Boden reflektieren : Da das Sonnenlicht den Zylindermantel der Fahrradfelge parallel trifft , bildet sich eine Brennfläche , deren Profil die Form einer halben Nephroide hat und die , wenn man sich leicht in die Kurve legt , mit dem ebenen Untergrund einen Teil einer Nephroide als Schnittfigur bildet .	Oberfläche	Artefakt	free
blank	Holztisch	Die Ausstattung des Saales war schlicht , er war mit einfachen blanken Holztischen und Bänken möbliert und hatte einen mit Delfter Platten verzierten Kachelofen .	Oberfläche	Artefakt	free
alt	Kirche	Auf dem nahe gelegenen Flurstück mit der Flurbezeichnung  Alte Kirche  fand der ehrenamtliche Archäologe ein schmuckähnliches kleines Metallkreuz .	Eigenname	Eigenname	Eigenname
alt	Kultur	In Probenmaterial und jungen Bakterienkulturen kommt der Erreger überwiegend in Stäbchenform vor , in älteren Kulturen dominiert ein pleomorphes Bild .	context	context	context
alt	Kumpel	Mithilfe von Ortiz' Geliebten Estella und seinem alten Kumpel Jonathan gelingt es Clay , die Banden gegeneinander auszuspielen .	Dauer	Mensch	collocation
alt	Kunst	alte Kunst  ) ist die Bezeichnung für die Musikepoche von 1230 bis 1330 , die auf einer zeitgenössischen Bezeichnung des 14. Jahrhunderts basiert .	term	term	term
blank	Klinge	Kritisiert werden auch der Staat und seine Organe wie die Polizei - " abgemagerter und in Lumpen gehüllter Proletarier , von Gendarmen mit blanker Klinge bewacht " - und das Militär .	Oberfläche	Artefakt	free
alt	Liebe	Doch seine alte Liebe zu Kabuos Ehefrau , Hatsue Miyamoto , stellt ihn vor ein Dilemma .	Dauer	Gefuehl	collocation
blank	Knopf	Seit 1915 wurden zusätzlich je ein kleiner blanker Knopf auf den hinteren Enden der Paroli angelegt , der hinter den Distinktions-Abzeichen des Titular-Dienstgrades ( z . B.	Oberfläche	Artefakt	free
alt	Mädchen	Maria Teresa , die nicht als " altes Mädchen " enden will , heiratet den Anwalt Marcello .	idiom	idiom	idiom
blank	Messer	Obwohl nun schon etliche Jahre vergangen sind , seit die alte Frau ihren Gatten und den älteren Sohn durch Blutrache verloren hat , kommt die Erinnerung an diese schlimme Zeit immer wieder schmerzhaft in ihr hoch , wenn sie ein blankes Messer sieht .	Oberfläche	Artefakt	free
blank	Metallteil	Als sich ab ca. 1915 Nickel zur Oberflächenbehandlung blanker Metallteile durchsetzte , wurden auch sie vernickelt .	Oberfläche	Artefakt	free
blank	Säbel	Es entstand ein Menschenauflauf bestehend aus Göttinger Bürgern und weiteren Studenten , der von weiteren herbeieilenden Gendarmen zu Pferde mit blankem Säbel zusammengeritten und mit Säbelhieben aufgelöst wurde .	Oberfläche	Artefakt	free
blank	Schwert	Sie ließ ihr Hemd fallen und strich sich mit dem blanken Schwert über ihre Brüste .	Oberfläche	Artefakt	free
alt	Musik	 Als Grenzgänger zwischen Komposition und Improvisation verleiht er seinen Deutungen klassischer Werke eine Lebendigkeit , die man in der Alten Musik selten zu hören bekommt . 	term	term	term
blank	Stiefel	Es wird eine symbolhafte Bildsprache verwendet : Vor dem Eintreffen des Inspektors zerbricht ein Sturm das Glas des Fensters , vor dem Haus steht unheilverkündend eine Vogelscheuche , die blanken Stiefel des Inspektors suggerieren seine Autorität .	Oberfläche	Artefakt	free
alt	Namen	In der zweiten Hälfte der 90er Jahre allerdings eigneten sie sich den alten Namen wieder an .	Zeit	Kommunikation	collocation
blank	Taler	Kaum hatte er dies gesprochen , so fing es an , Taler zu regnen , harte , blanke Taler .	Oberfläche	Artefakt	free
alt	Ordnung	Das Bezirksamt Staffelstein wurde im Jahr 1862 durch den Zusammenschluss der Landgerichte älterer Ordnung Seßlach und Staffelstein neu gebildet .	term	term	term
blank	Waffe	Als ihnen dort bei den wechselhaften Kämpfen der Nachschub ausging , griffen sie nur mit blanken Waffen an .	Oberfläche	Artefakt	free
blind	Fenster	Mit Ausnahme von drei sind alle der acht Seiten mit halbrunden , heute teils blinden Fenstern mit flankierenden Rundfenstern versehen .	Oberfläche	Artefakt	collocation
zart	Faden	Eben machte sie den gefährlichen Luftsprung , als der zarte Faden plötzlich riss und die Immortelle zugleich herzlich lachend ihren Stengel schüttelte .	Beschaffenheit	Artefakt	free
alt	Regel	Eine noch ältere Regel , zusätzlich bereits beim Spielstand von 13:13 auf 18 zu verlängern , wurde zum 1. August 1998 gestrichen .	Dauer	Kommunikation	collocation
alt	Regierung	Auch in Weimar wurde die alte Regierung im Frühjahr 1848 durch eine  Märzregierung  abgelöst .	Zeit	Gruppe	collocation
alt	Regime	Die Demonstranten forderten den Rücktritt der Minister des alten Regimes , wie die Tausenden von Tunesiern , die auch am Samstag wieder demonstrierten .	Zeit	Gruppe	collocation
alt	Reich	Aus dem Alten Reich und der Ersten Zwischenzeit stammen Reste eines bescheidenen Friedhofes , der vielleicht einem bäuerlichen Dorf als Bestattungsort diente .	term	term	term
alt	Schloss	Der Abschnitt zwischen dem Alten Schloss und der Bamberger Straße und das dortige Diespecker Tor wurden im 19. Jahrhundert abgebrochen .	Eigenname	Eigenname	Eigenname
blind	Scheibe	Dies wird als " blinde Scheibe " bezeichnet .	Oberfläche	Artefakt	collocation
blind	Spiegel	Der blinde Spiegel ist noch mal gesondert zu erläutern , da er die Diskontinuität der Geschichte rechtfertigt und somit das Absurde gerade rückt .	Oberfläche	Artefakt	collocation
dick	Akte	Im Gegenteil : Um zu dicke Aktendeckel zu vermeiden , können aus einer dicken Akte mehrere dünne werden z.	Dimension	Artefakt	free
dick	Aktenordner	Bei der Unteren Naturschutzbehörde des Hochsauerlandes gibt es einen dicken Aktenordner mit Namen " Kirchhagen Eslohe " .	Dimension	Artefakt	free
dick	Auto	Ein wasserstoffblonder , muskelbepackter , selbst in der Nacht Sonnenbrille tragender , Steroide fressender CIA-Typ , der auf dicke Autos , Stripperinnen und schwere Waffen steht .	Art	Artefakt	collocation
alt	Stärke	Dazu muss er die acht  Essenzen der Natur  finden , um dem mächtigen  Maku-Baum  zu alter Stärke zu verhelfen .	Zeit	Koerper	collocation
alt	Stil	Den alten Stil der romanischen Zeit , in dem die Kapelle geboren , den hat die Kirche bei diesem Umbau gänzlich verloren .	Zeit	Kognition	collocation
alt	Struktur	Einerseits werden alte Strukturen renoviert und für die Nachwelt erhalten , andererseits moderne Architektur umgesetzt .	Zeit	Relation	collocation
dick	Balken	Die Decke war als steinernes Gewölbe geformt oder aus dicken Balken hergestellt und besaß keinen Durchgang in den darüber liegenden ersten Stock .	Dimension	Artefakt	free
dick	Brille	Doch wenn sie zu Hause ist , lässt sie sich gehen , faulenzt , ist grob und trägt eine dicke Brille und liederliche Klamotten .	Dimension	Artefakt	free
alt	System	Auch heute sind daher noch zahlreiche Fahrzeuge mit Kennzeichen nach dem alten System im Verkehr .	Zeit	Relation	collocation
dick	Brillenglas	Von Fahey bekam Wilson den Spitznamen " Blind Owl " , da er dicke Brillengläser benötigte , um seine schwache Sehkraft auszugleichen .	Dimension	Artefakt	free
dick	Brummer	Die Zeit der dicken Brummer wird bald vorbei sein , und dann sind die Franzosen , Italiener und Koreaner deutlich besser aufgestellt .	Art	Artefakt	collocation
alt	Tradition	In Hamburg wird jetzt die alte Tradition des Feierabendbiers in der U-Bahn zu Grabe getragen , das Fahrbier auf dem Weg zum Abendvergnügen soll es auch nicht mehr geben .	Dauer	Kognition	collocation
alt	Trainer	1998 holte Otto Rehhagel , Ramzys alter Trainer aus Bremer Zeiten , ihn in die Pfalz zum 1. FC Kaiserslautern .	Zeit	Mensch	collocation
alt	Traum	Es sind diejenigen , mit hohem Einkommen , die sich noch den alten Traum vom Haus im Grünen erfüllen wollen .	Dauer	Kommunikation	collocation
dick	Buch	Ich finde der Weg zum Erkenntnis ist eher das Hinterfragen statt von einen dicken Buch vorzutragen .	Dimension	Artefakt	free
alt	Version	Die alte Version erhielt den Namen " Standard Edition " , die " Professional Edition " wird auch fast nur im professionellen Cricket verwendet .	Zeit	Relation	collocation
alt	Wert	Beispielsweise könnte es in einem System unzulässig sein , beim Setzen eines Attributes seinen alten Wert einfach zu überschreiben .	Zeit	Menge	collocation
alt	Zeit	Schon seit alter Zeit werden im Altaigebirge Weizen , Hafer , Gerste , Hirse und Flachs angebaut , meistens in künstlich bewässerten Steppentälern .	Zeit	Zeit	collocation
arm	Alte	Verbunden mit der Demografie-Prognosen stehen DE dann in 20 , 30J wirklich  rosige  Zeiten entgegen : im Land vermehrt arme Alte .	Gesellschaft	Gruppe	free
arm	Amerikaner	Wusste nicht , dass Trump singt .... Hätt eher gesagt eine Mischung aus Lugner und Stronach ... arme Amerikaner	Gesellschaft	Mensch	free
arm	Arbeiter	Die Hafengebiete außerhalb Londons , wo die armen Arbeiter in erbärmlichen Behausungen zusammengepfercht lebten , waren als erste von der Pest betroffen .	Gesellschaft	Mensch	free
arm	Bauer	Seine Eltern waren arme Bauern , die von den englischen Landbesitzern vertrieben wurden und in Rosslare ansiedelten .	Gesellschaft	Mensch	free
arm	Bauernfamilie	Er wuchs , gemeinsam mit seinen zwei Schwestern , als Waise in einer armen Bauernfamilie auf , da sein Vater schon früh in einer Schlägerei umkam .	Gesellschaft	Gruppe	free
arm	Bevölkerung	Einen nachhaltigen Eindruck im Pariser Stadtbild hinterließ er 1872 durch die Aufstellung von etwa 50 Trinkwasserbrunnen , den sogenannten Wallace-Brunnen , zugunsten der armen Bevölkerung .	Gesellschaft	Gruppe	free
arm	Bevölkerungsgruppe	Als Elendsviertel werden allgemein besonders arme und heruntergekommene Viertel von Städten bezeichnet , die meist ausschließlich von armen Bevölkerungsgruppen bewohnt werden .	Gesellschaft	Gruppe	free
arm	Bevölkerungsschicht	Trotz ihres hohen gesellschaftlichen Standes verteilte sie Lebensmittel an die arme Bevölkerungsschicht und wird so als Patronin der Nächstenliebe verehrt .	Gesellschaft	Gruppe	free
arm	Bewohner	Arme Bewohner wanderten auf die Karthäuser Schießstände , um verschossene Kugeln zu sammeln und das Material weiterzuverkaufen .	Gesellschaft	Mensch	free
arm	Bezirk	Sieht man eher an der Verteilung der Mehrheiten , d. h. ärmere Bezirke in Wien z.	Gesellschaft	Besitz	free
arm	Bruder	Dort sind die drei armen Brüder " aus dem Schwarzenfelsischen " , wohl das historische Amt Schwarzenfels , der Ranzen ein Tornister , aus dem sechs Mann kommen .	Gesellschaft	Mensch	free
arm	Bundesland	Das Burgenland ist eine Vorzeigeregion , vom ärmsten Bundesland zum Nettozahler , von verarmten Menschen hört man nichts , die Roma gut integriert ... Respekt .	Gesellschaft	Ort	free
arm	Bundesstaat	Alles in allem erhalten die ärmsten Bundesstaaten mehr als 10 mal so viel wie die ärmsten Eurostaaten .	Gesellschaft	Ort	free
arm	Bürger	Der Stadt wurde eine Stiftung mit dem Vermögen von 20.000 Mark zuteil , die zur Unterstützung armer Bürger gedacht war .	Gesellschaft	Mensch	free
arm	Dorf	Vor 20 Jahren noch ein armes Dorf , hat sich Dafen mittlerweile zu einer modernen Einwohnergemeinschaft Shenzhens entwickelt .	Gesellschaft	Ort	free
arm	Einwanderer	Dabei handelt es sich um arme Einwanderer , die den Großgrundbesitzern wegen wiederholter Fälle von Viehdiebstahl ein Dorn im Auge sind und deshalb zur Ermordung freigegeben sind .	Gesellschaft	Mensch	free
arm	Eltern	Der Überlieferung nach stammte Joachim Ulrich von Rosenfeld von " armen Eltern " , die ihn zur Schule anhielten .	Gesellschaft	Mensch	collocation
arm	Elternhaus	Die allgemeine Lernmittelfreiheit ließ sich 1910 zwar nicht durchsetzen , dafür aber die Pflicht der Kommunen , für Kinder aus armen Elternhäusern die Schulbücher zu beschaffen .	Gesellschaft	Geschehen	free
arm	Entwicklungsland	Die 2005 zu erwartende Mittelfreisetzung im Rahmen der Schuldenerlassinitiative zugunsten der am höchsten verschuldeten armen Entwicklungsländer ( HIPC ) wird diese Situation verbessern .	Gesellschaft	Ort	free
arm	Familie	Dazu gehörte auch die Gründung einer säkularen Schule , in der 500 Schüler aus armen Familien eine Ausbildung bekamen und wo auch Arbeitergruppen ihre Treffen abhielten .	Gesellschaft	Gruppe	free
arm	Fischer	Im Sommer 1935 reiste sie mit ihren Eltern nach Spanien und Portugal und war von der Religiosität der armen Fischer in Póvoa de Varzim berührt .	Gesellschaft	Mensch	free
arm	Frau	 Für arme Frauen  hat er " eine Vorliebe " , weil sie " so schön bitten " können .	Gesellschaft	Mensch	collocation
arm	Gebiet	Die Fluten des Hurrikans und ungeklärte Abwässer führten in vielen armen Gebieten im Südwesten Mexikos zu einer allgemeinen Gefahr der Verbreitung von Tropenkrankheiten .	Gesellschaft	Ort	free
arm	Gegend	 Die CCIU ist in einer der ärmsten Gegenden Ugandas tätig , im Gulu District , einer Region , die sich erst langsam vom Bürgerkrieg mit Millionen Vertriebenen erholt .lic_by_lang	Gesellschaft	Ort	free
arm	Gemeinde	Durch den Tourismus änderte sich die Struktur der ehemals armen Gemeinde , viele Landwirtschaftsbetriebe wurden aufgegeben .	Gesellschaft	Gruppe	free
arm	Geschöpf	Auf ihre Frage an den Fabrikbesitzer antwortete dieser : " " Ach diese armen Geschöpfe , die klaube ich auf der Straße auf und gebe ihnen zehn Piaster pro Tag , damit sie nicht verhungern .	Emotion	Tops	collocation
arm	Hascherl	Die noch minderjährige Helli ist ein , wie man in Wien sagen würde , " armes Hascherl " : Missbraucht und von allen ausgebeutet .	Emotion	Mensch	collocation
arm	Haushalt	Mehr als die Hälfte der armen Haushalte hat keinen Zugang zu sauberem Wasser , wobei dieser Prozentsatz im ländlichen Norden viel höher ist .	Gesellschaft	Gruppe	free
arm	Irre	Arme Irre ist noch heute eine in der Umgangssprache eher herablassende Bezeichnung für die mit psychischen Problemen belastete Gruppe der armen Gesellschaftsschicht .	term	term	term
arm	Jude	Als man die Mauern des Prager Ghettos einriss , wurden von armen Juden Drahtverhaue aufgestellt .	Gesellschaft	Mensch	free
arm	Junge	Als auch noch der Bergzauberer einen gewaltigen Sturm losbrechen lässt und ein Mühlrad dabei ins Wasser stürzt , nimmt die kleinmütige Hetze gegen den armen Jungen kein Ende mehr .	Emotion	Mensch	collocation
arm	Kerl	Er beobachtet einen vorübertreibenden Leichnam und gerät ins Grübeln , wie der arme Kerl wohl gestorben sein mag .	Emotion	Mensch	collocation
arm	Kind	Gast kannte das Elend , deshalb schenkte er am 10. Mai 1871 der Wittenberger Fortbildungsschule 500 Taler , " um armen Kindern unentgeltlichen Unterricht zu verschaffen " .	Gesellschaft	Mensch	collocation
arm	Kleine	Ihre Reaktion findet er altmodisch " " von ,vor dem Krieg' , arme Kleine ! " "	Emotion	Mensch	collocation
arm	Kranke	Das Tragen des schwarzen Mantels wurde als Zugehörigkeit zum Orden des Franz von Assisi gedeutet , den er oft in Turnov ( Turnau ) aufsuchte , und der sich um arme Kranke kümmerte .	Gesellschaft	Mensch	collocation
arm	Kreatur	In den riesigen Manufakturen mussten die armen Kreaturen offensichtlich bis zu zehn Stunden am Stück für zum Teil weniger als fünf Bananen schuften - ohne Unfallversicherung oder Rentenansprüche .	Emotion	Tops	collocation
arm	Land	Laut Stern müssten die Ausgaben für Forschung an Technologien zur Verringerung des Treibhausgasausstoßes verdoppelt werden und sowohl reiche als auch arme Länder zusammenarbeiten , um den Klimawandel aufzuhalten .	Gesellschaft	Ort	free
arm	Landbevölkerung	Es vermischen sich häufig Bilder von wilden Barbaren aus dem Osten mit dem Eindruck einer Armee der armen Landbevölkerung .	Gesellschaft	Gruppe	free
arm	Landstrich	Der Chiemgau gehörte in den letzten Jahrhunderten zu den relativ armen Landstrichen .	Gesellschaft	Ort	free
arm	Lazarus	Auf der linken Seite ist die Himmelspforte zu sehen , das Fresko links der Kanzel wird als Reicher Mann und armer Lazarus gedeutet .	Eigenname	Eigenname	Eigenname
arm	Leute	Die gewaltigen Häuser im Nordteil wurden zu einfachen Mietwohnungen , in die viele arme Leute einzogen .	Gesellschaft	Gruppe	free
arm	Mädchen	Das Motiv vom armen Mädchen , das in einer Räuberhöhle freundlich Zuflucht findet , kommt u.a. auch bei " Schneewittchen " vor .	Gesellschaft	Mensch	collocation
arm	Mädel	Schnitzler kritisiert die Lügen der höherrangigen Gesellschaft sowie die egozentrischen Wünsche der Männer , denen die armen Mädeln hilflos ausgeliefert sind .	Emotion	Mensch	collocation
arm	Mama	Ich hätt die ganze Familie gegen mich gehabt ... garantiert ... vor allem die Frauen , die das gleich wieder aufs arme Kind münzen und auf die arme Mama ...	Emotion	Mensch	collocation
arm	Mann	Als er einem armen Mann dessen Schulden bezahlt , verspricht der ihm eine seiner Töchter zur Frau .	Gesellschaft	Mensch	collocation
arm	Masse	Kenyatta versuchte dieser Bewegung , die vorgab , für die arme Masse zu sprechen , durch Gesetzes- und Verfassungsänderungen Herr zu werden .	Gesellschaft	Gruppe	free
arm	Mensch	Es entstanden weltweit Krankenhäuser , Heime und andere Hilfseinrichtungen für behinderte , alte und arme Menschen , in Deutschland beispielsweise Diakonisches Werk und Brot für die Welt .	Gesellschaft	Mensch	free
arm	Mitgliedsland	Hier spielt es keine Rolle , ob Nettozahler oder ein armes Mitgliedsland , die Strukturpolitik ist und bleibt der stärkste Ausdruck der europäischen Solidargemeinschaft .	Gesellschaft	Ort	free
arm	Mutter	[ ... ] Arme Mutter - da sprang ihr plötzlich etwas wie ein Reifen vom Herzen [ ... ] .	Emotion	Mensch	collocation
arm	Nachbar	Beth , die ihr Leben ihrer Familie widmet und aufopferungsvoll im Haushalt und bei kranken und armen Nachbarn arbeitet , ist selbstlos bis in den Tod .	Gesellschaft	Mensch	free
arm	Nation	Wir stillen den Hunger aller Länder , machen aus armen Nationen Unternehmerländer westlicher Prägung , bilden Führungskräfte aus die Wirtschaftszentren u Arbeitsplätze für alle schaffen .	Gesellschaft	Gruppe	free
arm	Norden	Schließlich wandten sie sich im armen Norden mit muslimischer Minderheit im Norden des Landes auch karitativen Werken zu .	Gesellschaft	Ort	free
arm	Nordosten	Die meisten Eindringlinge hielten sich im armen Nordosten des Landes an der laotischen und kambodschanischen Grenze auf .	Gesellschaft	Ort	free
arm	Opfer	Aber wahrscheinlich ist der nette Mann auch ein armes Opfer , der von den bösen Gutmenschen dazu gzwungen wurde , Menschen brennen sehen zu wollen .	Emotion	Mensch	collocation
arm	Osten	Nathan und seine aus einer Drogerie im armen Osten stammende Frau Caroline empfangen gewöhnlich samstags ihre Verwandten in der Guiollettstraße zum Tee .	Gesellschaft	Ort	free
arm	Patient	Das Krankenhaus für arme Patienten wurde im Auftrag des Bischofs von Jaén Diego de los Cobos gebaut .	Gesellschaft	Mensch	collocation
arm	Provinz	Das Projekt unterstützt die Menschen in der Provinz Zambezia , der ärmsten Provinz des Landes , in ihrer wirtschaftlichen und gesellschaftlichen Entwicklung .	Gesellschaft	Ort	free
arm	Region	Entwicklungsprogramme sollen die armen Regionen Chinas wirtschaftlich entwickeln und die Armut in diesen Regionen reduzieren .	Gesellschaft	Ort	free
arm	Reiche	Der Titel der Erzählung mit seiner bedeutungsschweren Frage ist zu einer stehenden Formel geworden , mit der Gier hinterfragt wird , und entspricht dem Gleichnis vom armen Reichen aus dem Evangelium nach Lukas , der sich , nachdem er eine besonders reiche Ernte eingefahren hat , sagt :	Emotion	Gruppe	collocation
arm	Rentner	Ein armer Rentner aus dem Raum Düsseldorf verlor damit endgültig 5000 Euro , die seine ganze Altervorsorge waren .	Gesellschaft	Mensch	free
arm	Schlucker	Und wenn du das alles überlebst , wirst du feststellen , daß du als armer Schlucker nur deine Zeit für andere verschwendet hast ! "	Emotion	Mensch	collocation
arm	Schüler	Ebenso erhielt die Realschule einen Betrag , damit jährlich die nötigen Bücher für arme Schüler angekauft werden konnten .	Gesellschaft	Mensch	collocation
arm	Schwarze	Watson , von der Notwendigkeit für arme Schwarze und arme Weiße ihre " Rassenunterschiede " im Namen geteilter wirtschaftlicher Eigeninteressen zur Seite zu legen .	Gesellschaft	Mensch	free
arm	Seele	Ihre armen Seelen kamen zurück , um durch all die schlimmen Folterungen und durch ihren Tod von ihren Sünden gereinigt zu werden . "	Emotion	Kognition	collocation
arm	Staat	Da West Virginia ein armer Staat war , wurde es von der allgemeinen Wirtschaftskrise der Zeit besonders hart getroffen .	Gesellschaft	Ort	free
arm	Stadt	Dennoch gilt Potosí nach wie vor nicht als Boomtown , sondern eher als relativ arme Stadt in Bolivien .	Gesellschaft	Ort	free
arm	Stadtteil	Das sind allerdings oft Bewohner der armen Stadtteile im Süden , aber auch im Westen .	Gesellschaft	Ort	free
arm	Stadtviertel	Ziel des High / Scope Perry Preschool Project war es , Kinder aus armen Stadtvierteln in ihrer intellektuellen Entwicklung zu fördern .	Gesellschaft	Ort	free
arm	Student	Dabei haben die politischen Blutsauger als Beamte der höchsten Besoldungsstiufe ohnehin die Möglichkeit , ihre Arbeit für ein Paar Scheinchen von einem armen Studenten schreiben zu lassen .	Gesellschaft	Mensch	free
arm	Süden	Besonders in den 1950er und 1960er Jahren war eines deren Geschäftsfelder die Bauspekulation mit Geldern aus dem von Rom zur Verfügung gestellten Entwicklungsfonds für den armen Süden .	Gesellschaft	Ort	free
arm	Sünder	Man solle lieber jedes Mal , wenn er einem armen Sünder den Kopf abschlagen müsse , für ihn und sein Opfer ein Vaterunser beten .	Emotion	Mensch	collocation
arm	Theater	Zu dieser Zeit wurde auch der polnische Regisseur und Theatertheoretiker Jerzy Grotowski und sein " armes Theater " ( wieder ) entdeckt .	term	term	term
arm	Tier	War ja mit Sicherheit eine Riesenaufregung für das arme Tier , von der es sich erst erholen muss .	Emotion	Tier	collocation
